"word","F","M"
"dressing",128,69
"drink",752,1148
"drinker",47,68
"drinking",441,528
"drinks",272,460
"drive",444,551
"driven",395,625
"driver",48,66
"drives",121,173
"driving",238,383
"drop",153,282
"drove",41,82
"drug",51,75
"drugs",120,204
"drums",50,154
"drunk",78,154
"dry",225,392
"dude",61,336
"dudes",45,56
"due",137,236
"dull",47,64
"dumb",51,114
"during",501,780
"dynamic",64,112
"each",1039,1463
"eager",82,97
"ear",52,82
"early",308,467
"earned",42,66
"ears",47,85
"earth",861,1128
"ease",89,72
"easier",118,175
"easily",632,622
"east",1340,1620
"eastern",79,103
"easy",1540,2493
"easy-going",336,427
"easygoing",190,294
"eat",931,1338
"eating",721,934
"eccentric",79,148
"eclectic",179,247
"economics",31,127
"edge",116,184
"editor",43,62
"educated",267,449
"education",378,386
"effect",43,60
"effort",146,253
"ego",46,74
"eight",43,98
"either",629,989
"el",33,92
"electronic",50,166
"elementary",58,56
"else",1078,1581
"else?",51,76
"elsewhere",57,83
"email",162,216
"emails",55,61
"embrace",132,159
"emotion",41,67
"emotional",220,345
"emotionally",267,320
"emotions",87,108
"empathetic",98,126
"empathy",78,90
"employed",58,158
"empty",83,133
"en",49,124
"encounter",49,53
"end",675,959
"ended",141,307
"ending",56,92
"endless",87,100
"endlessly",45,59
"ends",56,121
"energetic",391,363
"energy",663,702
"enfp",49,66
"engage",89,132
"engaged",118,131
"engaging",122,173
"engineer",73,495
"engineering",70,333
"england",181,284
"english",322,433
"enjoy",7168,9921
"enjoyable",68,107
"enjoyed",173,258
"enjoying",820,1139
"enjoyment",46,84
"enjoys",520,773
"enough",1165,1731
"entertain",89,118
"entertained",80,65
"entertaining",179,221
"entertainment",90,134
"enthusiasm",94,73
"enthusiast",76,145
"enthusiastic",152,167
"entire",176,263
"entirely",101,134
"entrepreneur",49,235
"environment",163,234
"environmental",96,125
"epic",60,89
"equal",135,159
"equally",277,296
"escape",72,126
"especially",1257,1457
"essay",68,85
"essential",109,114
"estate",40,71
"etc",893,1322
"ethnic",77,73
"europe",486,669
"european",91,116
"even",2296,3107
"evening",158,226
"evenings",97,100
"event",144,185
"events",476,621
"eventually",217,332
"ever",1100,1702
"every",1846,2787
"everybody",78,182
"everyday",353,454
"everyone",798,1292
"everything",1542,2437
"everywhere",170,254
"evil",48,108
"evolving",70,69
"ex",48,91
"exactly",183,295
"example",85,181
"excellent",156,203
"except",285,485
"exception",57,59
"exchange",67,109
"excited",612,517
"excitement",99,127
"exciting",293,461
"excuse",107,120
"exercise",276,475
"exercising",61,124
"exist",68,105
"existence",70,151
"exotic",116,131
"expand",125,199
"expanding",71,86
"expect",361,447
"expectations",92,174
"expected",39,71
"expensive",54,82
"experience",933,1320
"experienced",108,174
"experiences",856,1089
"experiencing",248,277
"experiment",57,85
"explain",105,192
"exploration",94,157
"explore",1191,1267
"explored",50,51
"explorer",59,123
"exploring",1561,1625
"express",145,196
"expression",110,141
"expressive",85,53
"extended",73,95
"extensively",58,87
"extra",115,191
"extraordinary",54,56
"extreme",111,122
"extremely",569,609
"extrovert",135,165
"extroverted",106,145
"eye",166,245
"eyes",384,593
"fabulous",161,55
"face",447,608
"facebook",100,235
"faces",79,109
"facial",40,69
"fact",414,620
"facts",136,234
"facts:",47,62
"fail",44,89
"fair",229,327
"fairly",414,653
"fairs",68,33
"faith",129,132
"faithful",45,66
"fake",77,143
"fall",448,506
"fallen",50,51
"falling",96,118
"familiar",50,85
"families",52,60
"family",4100,3490
"fan",825,1257
"fanatic",51,83
"fancy",210,219
"fantastic",211,215
"fantasy",92,168
"far",1122,1626
"farm",91,126
"farmer's",129,56
"farmers",149,75
"fascinated",133,194
"fascinating",114,135
"fashion",319,288
"fashioned",91,91
"fast",269,378
"faster",33,92
"fat",76,119
"father",110,350
"fault",136,195
"favor",46,73
"favorite",1835,1759
"favorites",110,164
"fear",140,199
"feed",78,79
"feel",2655,3400
"feeling",483,587
"feelings",209,298
"feels",337,394
"feet",247,253
"feisty",113,17
"fell",133,162
"fellow",64,149
"felt",129,214
"female",248,207
"feminine",151,80
"feminist",131,63
"femme",130,12
"festival",59,88
"festivals",242,224
"few",1994,3293
"fiction",156,229
"field",254,304
"fields",35,74
"fiercely",112,85
"fight",99,152
"fighter",50,74
"fighting",40,98
"figure",427,634
"figured",123,249
"figuring",112,151
"filipino",34,70
"fill",221,305
"filled",169,212
"filling",118,161
"film",308,640
"films",221,275
"final",30,85
"finally",379,549
"finance",44,112
"financial",74,140
"financially",94,124
"find",3934,5465
"finding",763,995
"finds",64,97
"fine",397,636
"finer",66,81
"fingers",44,75
"finish",125,216
"finished",162,291
"finishing",100,168
"fire",197,325
"firm",143,191
"firmly",53,67
"first",1853,2707
"fish",132,181
"fishing",116,250
"fit",614,916
"fitness",108,217
"fits",47,70
"five",224,371
"fix",111,240
"fixing",27,129
"flea",67,44
"flexible",137,163
"flight",46,69
"flip",86,88
"floor",148,160
"florida",92,184
"flow",169,196
"flowers",194,120
"fluent",54,68
"fly",107,198
"flying",71,149
"focus",182,331
"focused",200,319
"focusing",56,91
"fog",91,104
"folk",55,92
"folks",254,298
"follow",235,382
"followed",95,109
"following",154,216
"fond",89,134
"food",2460,2949
"foodie",200,212
"foods",233,330
"fool",100,140
"foot",121,163
"football",439,535
"for",25082,34864
"for:",70,65
"for?",56,74
"force",100,141
"forced",40,71
"foreign",210,276
"foremost",33,68
"forest",73,105
"forever",158,207
"forget",135,219
"forgive",53,61
"form",226,364
"former",137,230
"forms",166,214
"forth",79,121
"fortunate",229,291
"fortune",44,71
"forward",685,794
"found",644,1050
"foundation",66,64
"four",299,435
"fran",71,93
"france",215,286
"franciscan",101,105
"francisco",2560,4105
"freak",91,138
"free",1165,1783
"freedom",149,172
"freelance",45,76
"french",277,411
"frequent",63,100
"frequently",153,240
"fresh",295,295
"friday",67,114
"friend",1556,1760
"friend's",59,62
"friendly",686,930
"friends",8313,9518
"friendship",355,386
"friendships",255,255
"frisbee",64,148
"from",7563,11741
"front",256,369
"fruit",76,78
"fuck",127,227
"fucking",94,171
"fulfilling",110,102
"full",989,1262
"full-time",63,102
"fullest",243,340
"fully",182,252
"fun",5726,7440
"fun-loving",247,211
"funny",1716,2344
"furniture",78,110
"further",89,186
"future",397,652
"gadgets",24,84
"gain",54,57
"gal",342,65
"galleries",79,102
"gallery",41,72
"game",651,924
"gamer",41,132
"games",1230,2061
"games<",63,187
"gaming",30,123
"garden",252,168
"gardening",204,146
"gardens",68,35
"gate",108,150
"gatherings",58,44
"gave",98,197
"gay",136,326
"gear",41,70
"geek",298,758
"geeky",162,373
"gender",205,144
"general",457,718
"generally",659,1045
"generation",88,96
"generous",350,308
"genius",42,63
"genres",46,76
"gentle",141,174
"gentleman",121,312
"gentlemen",51,53
"genuine",527,538
"genuinely",142,200
"george",30,82
"georgia",38,67
"german",100,181
"germany",125,191
"get",6206,9259
"gets",316,511
"getting",1730,2267
"giant",73,126
"giants",419,448
"gift",78,118
"gifts",66,83
"girl",2837,1219
"girlfriend",72,193
"girls",370,646
"girly",190,13
"give",1131,1619
"given",295,487
"gives",172,256
"giving",398,481
"glad",104,160
"glass",437,362
"glasses",92,105
"global",67,82
"globe",53,70
"go",4666,6489
"goal",301,546
"goals",318,492
"god",249,352
"goes",553,841
"going",4864,7184
"gold",81,109
"golden",181,259
"golf",152,382
"gone",184,276
"gonna",108,259
"good",8861,12145
"goof",44,85
"goofball",62,100
"goofy",439,555
"google",52,105
"gorgeous",76,50
"got",1295,2296
"gotta",96,173
"gotten",146,263
"government",35,81
"grab",87,151
"grabbing",53,67
"grace",78,63
"grad",363,568
"grade",99,126
"graduate",223,389
"graduated",355,631
"graduating",79,136
"grammar",142,126
"grand",77,125
"granted",68,104
"graphic",126,185
"grass",75,82
"grateful",252,191
"gratitude",66,49
"gravitate",57,76
"great",3877,5066
"greater",65,114
"greatest",159,267
"greatly",44,66
"greece",79,80
"greek",56,71
"green",237,263
"gregarious",70,95
"grew",1516,2357
"grocery",78,68
"ground",134,162
"grounded",361,272
"group",385,555
"groups",125,212
"grow",443,548
"growing",410,550
"grown",299,289
"growth",201,202
"guess",811,1396
"guide",61,91
"guilty",64,56
"guitar",263,831
"guy",1023,5921
"guys",660,856
"gym",388,750
"ha",74,131
"habit",87,114
"had",1705,2573
"haha",173,319
"hair",517,523
"half",712,993
"halloween",58,56
"hand",350,507
"handful",53,54
"handle",212,165
"hands",412,447
"handsome",62,187
"handy",52,106
"hang",791,1248
"hanging",852,1129
"hangout",32,96
"happen",385,518
"happened",72,130
"happening",66,76
"happens",309,444
"happier",127,97
"happiest",186,118
"happily",158,165
"happiness",240,319
